
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
NOT                              NOT1                               1   1      1   1   1 1           1 0 ALU_OpSel_FINISHED  (53-148-13)
NOT                              NOT1                               1   1      2   2   1 13         13 0                     (0-0-0)
NOT                              NOT1                               1   1      3   3   1 2           2 0 ALU_RES_A_B_Op      (55-13-13)
NOT                              NOT1                               1   1      4   4   1 3           3 0 VCC                 (55-11-13)
NOT                              NOT1                               1   1      5   5   1 12         12 0                     (0-0-0)
NOT                              NOT1                               1   1      6   6   1 4           4 0 ALU_RegSw_SetD      (53-150-13)
NOT                              NOT1                               1   1      7   7   1 11         11 0                     (0-0-0)
NOT                              NOT1                               1   1      8   8   1 9           9 0                     (0-0-0)
NOT                              NOT1                               1   1      9   9   1 8           8 0                     (0-0-0)
NOT                              NOT1                               1   1     10  10   1 10         10 0                     (0-0-0)
NOT                              NOT1                               1   1     11  11   1 5           5 0                     (0-0-0)
NOT                              NOT1                               1   1     12  12   1 6           6 0                     (0-0-0)
NOT                              NOT1                               0   2      1   1   2 14         14 1 VCC                 (55-11-13)
NOT                              NOT1                               0   3      1   1   3 7           7 1 GND                 (0-0-0)
OR                               OR1                                2   1      1   1   1 1           1 0 ALU_SUM             (53-141-13)
OR                               OR1                                2   1      2   2   1 2           2 0 ALU_MULT            (53-142-13)
OR                               OR1                                2   1      3   3   1 3           3 0 ALU_OperGO          (53-145-13)
OR                               OR1                                2   1      4   4   1 4           4 0                     (0-0-0)
OR                               OR1                                2   1      5   5   1 5           5 0                     (0-0-0)
OR                               OR1                                2   1      6   6   1 6           6 0                     (0-0-0)
OR                               OR1                                2   1      7   7   1 13         13 0                     (0-0-0)
OR                               OR1                                2   1      8   8   1 12         12 0                     (0-0-0)
OR                               OR1                                2   1      9   9   1 11         11 0                     (0-0-0)
OR                               OR1                                2   1     10  10   1 10         10 0                     (0-0-0)
OR                               OR1                                2   1     11  11   1 9           9 0                     (0-0-0)
OR                               OR1                                2   1     12  12   1 8           8 0                     (0-0-0)
OR                               OR1                                0   2      1   1   2 14         14 1 VCC                 (55-11-13)
OR                               OR1                                0   3      1   1   3 7           7 1 GND                 (0-0-0)
4BitPSReg                        QReg1                              5   1      1   1   1 11         11 0 ALU_OpCLK           (55-60-13)
